ts,trade_id,decision,reason,skip_stage,ai_win_prob,ai_threshold,ai_decision_text,edge_score,edge_threshold,effective_threshold,invert_signal,early_fail_enabled,experiment_tag,features_price,features_ema9,features_delta,controls_edge,final_direction,ai_error,ai_source,edge_trigger_reason,exchange,data_symbol,bot_version,fee_profile,analyzer_sync_id,research_lane,research_model
2026-06-23T18:49:20.041453+00:00,120c690e-3f73-4d5e-9781-58cc9250836d,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62184.0,62384.439333,2.31701,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:52:27.191011+00:00,cont-5cf1ca4ab0ae,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62258.0,62392.239333,2.260578,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:52:28.111832+00:00,cont-5cf1ca4ab0ae,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62258.0,62392.239333,2.260578,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:52:28.150725+00:00,e8022bee-e8c5-43eb-9ed0-2e9ffc30ad3c,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62258.0,62392.239333,2.260578,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:55:36.626716+00:00,cont-4ad7aecfca4d,AI,APPROVE,AI,62,44.0,APPROVE,4.0,3.0,3.0,False,True,INV_False_EF_True,62251.0,62393.839333,1.450601,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:55:37.005221+00:00,cont-4ad7aecfca4d,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,4.0,3.0,3.0,False,True,INV_False_EF_True,62251.0,62393.839333,1.450601,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:55:37.047646+00:00,1a2f762a-0295-4fca-a3fe-eb202cdc0534,AI,APPROVE,AI,62,44.0,APPROVE,4.0,3.0,3.0,False,True,INV_False_EF_True,62251.0,62393.839333,1.450601,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:58:49.508940+00:00,cont-ed5c7f7fb84b,AI,APPROVE,AI,62,44.0,APPROVE,3.0,3.0,3.0,False,True,INV_False_EF_True,62287.0,62402.239333,1.467207,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:58:50.549774+00:00,cont-ed5c7f7fb84b,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.0,3.0,3.0,False,True,INV_False_EF_True,62287.0,62402.239333,1.467207,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:58:50.592228+00:00,cont-ed5c7f7fb84b,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.0,3.0,3.0,False,True,INV_False_EF_True,62287.0,62402.239333,1.467207,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:58:50.642277+00:00,1c77528c-d54c-42f6-b94a-8e3e650d4573,AI,APPROVE,AI,62,44.0,APPROVE,3.0,3.0,3.0,False,True,INV_False_EF_True,62287.0,62402.239333,1.467207,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T19:02:01.763137+00:00,cont-5e24ea83126e,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62306.0,62379.511466,1.273375,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:02:02.464173+00:00,cont-5e24ea83126e,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62306.0,62379.511466,1.273375,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:02:02.488890+00:00,cont-5e24ea83126e,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62306.0,62379.511466,1.273375,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:02:02.526650+00:00,957e4067-831c-435d-86f4-56b36cf4621f,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62306.0,62379.511466,1.273375,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T19:05:11.962436+00:00,cont-08cfad74e262,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62423.0,62393.111466,1.288458,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:05:12.869689+00:00,cont-08cfad74e262,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62423.0,62393.111466,1.288458,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:05:12.955244+00:00,55083c60-0082-4531-903e-2c28f08873d1,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62423.0,62393.111466,1.288458,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T19:08:22.057131+00:00,cont-5d5d50f24289,AI,APPROVE,AI,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,62385.0,62404.311466,1.231713,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:08:23.257765+00:00,cont-5d5d50f24289,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,62385.0,62404.311466,1.231713,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:08:23.280894+00:00,cont-5d5d50f24289,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,62385.0,62404.311466,1.231713,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:08:23.311161+00:00,43136245-cd8f-4fef-a8e7-57f3f7cfa966,AI,APPROVE,AI,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,62385.0,62404.311466,1.231713,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T19:11:36.983358+00:00,cont-49c3c3de47c5,AI,APPROVE,AI,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62395.0,62394.511466,1.254315,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T19:11:37.924739+00:00,cont-49c3c3de47c5,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62395.0,62394.511466,1.254315,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
